type;valuelog;value
variable 1;3.38;2399
variable 1;2.70;498
variable 1;3.24;1749
variable 1;3.10;1261
variable 1;2.93;845
variable 1;3.17;1476
variable 1;2.91;805
variable 1;3.04;1109
variable 1;3.06;1143
variable 1;3.09;1235
variable 1;3.00;996
variable 1;3.14;1379
variable 1;3.23;1697
variable 1;3.06;1144
variable 1;3.16;1434
variable 1;2.96;902
variable 1;3.20;1595
variable 1;3.20;1577
variable 1;3.07;1175
variable 1;2.66;456
variable 2;3.11;1302
variable 2;2.87;748
variable 2;3.49;3113
variable 2;3.14;1367
variable 2;3.20;1600
variable 2;2.97;938
variable 2;3.04;1104
variable 2;3.16;1456
variable 2;3.08;1193
variable 2;3.06;1151
variable 2;2.90;795
variable 2;2.87;739
variable 2;3.11;1279
variable 2;3.08;1200
variable 2;3.16;1458
variable 2;3.30;2017
variable 2;3.11;1278
variable 2;2.98;949
variable 2;2.81;640
variable 2;2.82;654
