Sepal_Length;Sepal_Width;Petal_Length;Petal_Width;Species;sostiapantisi;apantisi;time;;;;
0.75;3.5;1.4;0.2;experts;1550;5;715;;;;0,75
1;3;1.4;0.2;experts;1550;5;233;;;;1,00
0.44;3.2;1.3;0.2;experts;1550;5;814;;;;0,44
0.74;3.1;1.5;0.2;experts;1550;4;490;;;;0,74
0.71;3.6;1.4;0.2;experts;1550;5;356;;;;0,71
0.99;3.9;1.7;0.4;experts;1550;5;638;;;;0,99
0.34;3.4;1.4;0.3;experts;1550;5;341;;;;0,34
1;3.4;1.5;0.2;experts;1550;6;538;;;;1,00
0.47;2.9;1.4;0.2;experts;1550;5;678;;;;0,47
0.58;3.1;1.5;0.1;experts;1550;5;596;;;;0,58
0.88;3.7;1.5;0.2;experts;1550;5;453;;;;0,88
0.72;3.4;1.6;0.2;experts;1550;6;724;;;;0,72
0.97;3;1.4;0.1;experts;1550;6;881;;;;0,97
0.88;3;1.1;0.1;experts;1550;6;489;;;;0,88
0.86;4;1.2;0.2;experts;1550;5;663;;;;0,86
0.94;4.4;1.5;0.4;experts;1550;6;430;;;;0,94
0.88;3.9;1.3;0.4;experts;1550;5;543;;;;0,88
1;3.5;1.4;0.3;experts;1550;5;749;;;;1,00
0.71;3.8;1.7;0.3;experts;1550;5;376;;;;0,71
1;3.8;1.5;0.3;experts;1550;5;224;;;;1,00
0.47;3.4;1.7;0.2;non-experts;1550;4;897;;;;0,46875
0.13;3.7;1.5;0.4;non-experts;1550;4;414;;;;0,125
0.16;3.6;1;0.2;non-experts;1550;2;1036;;;;0,15625
0.10;3.3;1.7;0.5;non-experts;1550;3;784;;;;0,104166667
0.97;3.4;1.9;0.2;non-experts;1550;5;890;;;;0,96875
0.69;3;1.6;0.2;non-experts;1550;4;498;;;;0,6875
0.38;3.4;1.6;0.4;non-experts;1550;5;658;;;;0,375
0.88;3.5;1.5;0.2;non-experts;1550;5;433;;;;0,875
1;3.4;1.4;0.2;non-experts;1550;5;427;;;;1
1;3.2;1.6;0.2;non-experts;1550;5;396;;;;1
0.97;3.1;1.6;0.2;non-experts;1550;5;393;;;;0,96875
0.94;3.4;1.5;0.4;non-experts;1550;5;364;;;;0,9375
1;4.1;1.5;0.1;non-experts;1550;5;565;;;;1
0.88;4.2;1.4;0.2;non-experts;1550;6;536;;;;0,875
1;3.1;1.5;0.2;non-experts;1550;6;709;;;;1
0.75;3.2;1.2;0.2;non-experts;1550;5;824;;;;0,75
0.97;3.5;1.3;0.2;non-experts;1550;6;581;;;;0,96875
0.88;3.6;1.4;0.1;non-experts;1550;5;459;;;;0,875
0.97;3;1.3;0.2;non-experts;1550;5;315;;;;0,96875
1;3.4;1.5;0.2;non-experts;1550;6;363;;;;1
