type,valuelog,value
variable 1,3.23,1684
variable 1,2.42,265
variable 1,2.97,935
variable 1,2.89,771
variable 1,2.69,489
variable 1,2.92,838
variable 1,2.67,464
variable 1,2.76,571
variable 1,2.67,465
variable 1,2.81,639
variable 1,2.73,543
variable 1,2.82,655
variable 1,2.91,816
variable 1,2.82,655
variable 1,2.89,771
variable 1,2.67,472
variable 1,3.02,1052
variable 1,2.92,828
variable 1,2.90,799
variable 1,2.37,232
variable 2,2.61,405
variable 2,2.52,334
variable 2,3.32,2077
variable 2,2.77,583
variable 2,2.85,710
variable 2,2.64,440
variable 2,2.65,446
variable 2,3.01,1023
variable 2,2.88,766
variable 2,2.88,755
variable 2,2.60,402
variable 2,2.57,375
variable 2,2.85,714
variable 2,2.82,664
variable 2,2.87,749
variable 2,3.08,1193
variable 2,2.84,697
variable 2,2.69,490
variable 2,2.51,325
variable 2,2.46,291
