Sepal_Length;Sepal_Width;Petal_Length;Petal_Width;Species;sostiapantisi;apantisi;time
5.1;3.8;1.5;0.3;experts;1550;5.09;715
4.9;3;1.4;0.2;experts;1550;4.98;233
4.6;3.4;1.4;0.3;experts;1550;5.11;814
4.4;2.9;1.4;0.2;experts;1550;4.44;490
5.7;4.4;1.5;0.4;experts;1550;4.63;356
5;3.6;1.4;0.2;experts;1550;5.08;638
5.4;3.7;1.5;0.2;experts;1550;5.08;341
5;3.4;1.5;0.2;experts;1550;5.6;538
4.9;3.1;1.5;0.1;experts;1550;5.14;678
4.8;3.4;1.6;0.2;experts;1550;5.39;596
4.3;3;1.1;0.1;experts;1550;5.32;453
4.6;3.1;1.5;0.2;experts;1550;5.83;724
5.8;4;1.2;0.2;experts;1550;5.89;881
5.7;3.8;1.7;0.3;experts;1550;5.89;489
4.8;3;1.4;0.1;experts;1550;5.45;663
5.1;3.5;1.4;0.3;experts;1550;5.78;430
5.4;3.9;1.7;0.4;experts;1550;4.62;543
4.7;3.2;1.3;0.2;experts;1550;4.97;749
5.4;3.9;1.3;0.4;experts;1550;5.45;376
5.1;3.5;1.4;0.2;experts;1550;5.3;224
5.1;3.4;1.5;0.2;non-experts;1550;3.62;897
4.4;3;1.3;0.2;non-experts;1550;4.48;414
5.1;3.7;1.5;0.4;non-experts;1550;2.03;1036
5.4;3.4;1.5;0.4;non-experts;1550;3.26;784
4.8;3.1;1.6;0.2;non-experts;1550;4.81;890
5.4;3.4;1.7;0.2;non-experts;1550;4.02;498
5;3;1.6;0.2;non-experts;1550;4.9;658
5;3.4;1.6;0.4;non-experts;1550;5.12;433
4.9;3.6;1.4;0.1;non-experts;1550;4.9;427
5.1;3.3;1.7;0.5;non-experts;1550;5.29;396
5.5;4.2;1.4;0.2;non-experts;1550;4.97;393
5.5;3.5;1.3;0.2;non-experts;1550;4.97;364
4.8;3.4;1.9;0.2;non-experts;1550;5.43;565
5.2;4.1;1.5;0.1;non-experts;1550;5.9;536
4.9;3.1;1.5;0.2;non-experts;1550;5.89;709
4.7;3.2;1.6;0.2;non-experts;1550;5.34;824
5.2;3.4;1.4;0.2;non-experts;1550;5.7;581
5.2;3.5;1.5;0.2;non-experts;1550;5.37;459
5;3.2;1.2;0.2;non-experts;1550;5.3;315
4.6;3.6;1;0.2;non-experts;1550;5.89;363
